            TE      seTE treat1 treat2 studlab
2   0.18759861 0.3730281      3      5       2
3   0.46623715 0.4119633      3      9       2
4   0.27863853 0.3353135      5      9       2
5  -0.28387979 0.4118896      7     10       5
6   0.54493334 0.2744107      3      9       6
7  -0.06272326 0.3934217      6      9      12
8   0.64313676 0.4183674      2      6      16
9   0.40546511 0.4915960      2      8      16
10 -0.23767165 0.4082866      6      8      16
11 -0.48200519 0.5222139      1      6      24
12  0.91183638 0.5365602      1     11      24
13  1.39384157 0.5497916      6     11      24
14  0.09212329 0.2964180      1      3      43
15  0.50531044 0.2980581      1      9      43
16  0.41318715 0.2957813      3      9      43
17  0.25364272 0.2459926      2      6      49
18  0.56405000 0.2514334      2     11      49
19  0.31040729 0.2538184      6     11      49
20 -0.74069972 0.5232521      1      6      58
21 -0.88730320 0.5293884      1      7      58
22 -0.46242000 0.5157506      1      9      58
23 -0.14660347 0.5417939      6      7      58
24  0.27827972 0.5284764      6      9      58
25  0.42488319 0.5345527      7      9      58
26  0.27443685 0.7433919      3      9      59
27  0.92606975 0.2560730      3      9      78
28  0.27369583 0.3572269      3      9      79
29  0.62204673 0.1904745      2      6      82
30  0.06796776 0.1835001      2      8      82
31 -0.55407897 0.1870873      6      8      82
32  0.70432048 0.3427622      5      9      84
33 -0.60697876 0.3735261      3      6      86
34  0.11957035 0.4136311      3      9      86
35  0.72654911 0.3801308      6      9      86
36 -0.03929590 0.3529747      3      4     103
37 -0.06545722 0.3512138      3      4     104
38  0.55338524 0.3603358      3      9     104
39  0.61884245 0.3548525      4      9     104
40  0.72391884 0.6185271      6      9     107
41  0.46859286 0.2043657      3      9     110
42  1.01831235 0.4353041      6      9     115
43 -2.89037176 0.9219544      2      8     117
44  0.03922071 0.3394471      6      9     118
45  0.10536052 0.5797509      2      6     124
46  0.35222059 0.8440972      5      9     125
47  0.31193905 0.3874726      3      9     126
48  0.21130909 0.4379041      4      9     127
